order_number,date,price,quantity,product_id,SKU,canceled,"""-S""","""-M""",-L,-XL,-XXL,TEM,TEH,TAM,TAH,CAA,CAS,HOP,HOZ,SHT,SHF,SHR,SHC,COT,COP,TEK,TAK,TEI,TAI,ACC,POL,CAP,JOG,POL,TAP,,Types ,,,,,,,,,
P046235,7/08/2017,59.09,1.00,70,MS201-TEK-WH-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS210-TEK-BK-XL,,,,,,,
P046235,7/08/2017,59.09,1.00,71,MS202-TEK-OL-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS210-TEK-BK-XXL,,,,,,,
P046235,7/08/2017,59.09,1.00,72,MS200-TEK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS211-TEK-WH-S,,,,,,,
P046235,7/08/2017,53.63,1.00,73,MS245-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS211-TEK-WH-M,,,,,,,
P046235,7/08/2017,53.63,1.00,74,MS247-TAK-WH-XL,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS211-TEK-WH-L,,,,,,,
P046235,8/08/2017,62.72,1.00,75,MS015-TEH-GY-L,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS211-TEK-WH-XL,,,,,,,
P046235,8/08/2017,71.81,1.00,76,MS260-SHT-GY-XL,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS211-TEK-WH-XXL,,,,,,,
P046235,8/08/2017,53.63,1.00,77,MS247-TAK-WH-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS213-TEK-BU-S,,,,,,,
P046235,9/08/2017,53.63,1.00,78,MS246-TAK-OL-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS213-TEK-BU-M,,,,,,,
P046235,10/08/2017,53.63,1.00,79,MS246-TAK-OL-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS213-TEK-BU-L,,,,,,,
P046235,10/08/2017,53.63,1.00,80,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS213-TEK-BU-XL,,,,,,,
P046235,10/08/2017,53.63,1.00,81,MS247-TAK-WH-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS213-TEK-BU-XXL,,,,,,,
P046235,11/08/2017,71.81,1.00,82,MS260-SHT-GY-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS212-TEK-OL-S,,,,,,,
P046235,11/08/2017,71.81,1.00,83,MS255-SHT-NA-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS212-TEK-OL-M,,,,,,,
P046235,14/08/2017,71.81,1.00,84,MS250-SHT-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS212-TEK-OL-L,,,,,,,
